Province,Type,Name,EQC,SCC ,SOC,MDS,longitude,latitude
Eastern Cape,Magistrate Court,Butterworth,Yes,Yes,Yes,,28.14535,-32.33078
Eastern Cape,Magistrate Court,East London,Yes,Yes,Yes,,27.90373,-33.02075
Eastern Cape,Magistrate Court,Port Elizabeth,Yes,Yes,Yes,,25.60463,-33.94436
Eastern Cape,Magistrate Court,Tsolo,Yes,Yes,Yes,,28.75651,-31.31137
Free State,Magistrate Court,Bethlehem,Yes,Yes,Yes,,28.30458,-28.22987
Free State,Magistrate Court,Bloemfontein,Yes,Yes,Yes,,26.2165,-29.12004
Free State,Magistrate Court,Botshabelo,Yes,Yes,Yes,,26.71375,-29.23168
Free State,Magistrate Court,Koffiefontein,Yes,Yes,Yes,,25.00256,-29.40947
Free State,Magistrate Court,Phuthaditjhaba,Yes,Yes,Yes,,28.80829,-28.53581
Free State,Magistrate Court,Welkom,Yes,Yes,Yes,,26.73774,-27.97683
Gauteng,Magistrate Court,Heidelberg [GP],Yes,Yes,Yes,,28.35462,-26.49941
Gauteng,Magistrate Court,Johannesburg,Yes,Yes,Yes,Yes,28.03468,-26.20798
Gauteng,Detached Court,Kagiso,Yes,Yes,Yes,,27.78797,-26.15126
Gauteng,Magistrate Court,Kempton Park,Yes,Yes,Yes,,28.2326,-26.10212
Gauteng,Branch Court,Kliptown,No,Yes,Yes,,27.8874,-26.28322
Gauteng,Magistrate Court,Oberholzer,Yes,Yes,Yes,,27.39068,-26.34875
Gauteng,Magistrate Court,Palm Ridge,Yes,Yes,Yes,Yes,28.144237,-26.385538
Gauteng,Magistrate Court,Pretoria,Yes,Yes,Yes,Yes,28.18449,-25.74825
Gauteng,Magistrate Court,Pretoria North,Yes,Yes,Yes,Yes,28.1737,-25.67076
Gauteng,Detached Court,Sebokeng,No,Yes,Yes,,27.84698,-26.60995
Gauteng,Detached Court,Soweto,No,Yes,Yes,Yes,27.83674,-26.27433
Gauteng,Magistrate Court,Springs,Yes,Yes,Yes,,28.441991,-26.245373
KwaZulu‐Natal,Magistrate Court,Durban,Yes,Yes,Yes,,31.02868,-29.84468
KwaZulu‐Natal,Magistrate Court,Emlazi,Yes,Yes,Yes,,30.92513,-29.96176
KwaZulu‐Natal,Detached Court,Madadeni,Yes,Yes,Yes,,30.02838,-27.76073
KwaZulu‐Natal,Magistrate Court,Ntuzuma,Yes,Yes,Yes,,30.99717,-29.7346
KwaZulu‐Natal,Magistrate Court,Pietermaritzburg,Yes,Yes,Yes,,30.37971,-29.59972
KwaZulu‐Natal,Magistrate Court,Scottburgh,Yes,Yes,Yes,,30.75625,-30.28747
KwaZulu‐Natal,Magistrate Court,Umbumbulu,Yes,Yes,Yes,,30.70279,-29.98549
Limpopo,Magistrate Court,Groblersdal,Yes,Yes,Yes,Yes,29.39426,-25.16838
Limpopo,Magistrate Court,Lebowakgomo,Yes,Yes,Yes,,29.47842,-24.32035
Limpopo,Magistrate Court,Lephalale,Yes,Yes,Yes,Yes,27.73573,-23.67796
Limpopo,Magistrate Court,Louis Trichardt,Yes,Yes,Yes,,29.90637,-23.03811
Limpopo,Magistrate Court,Mahwelereng,Yes,Yes,Yes,Yes,28.98316,-24.15216
Limpopo,Magistrate Court,Mankweng,Yes,Yes,Yes,,29.70164,-23.88197
Limpopo,Magistrate Court,Modimolle,Yes,Yes,Yes,,28.40787,-24.70482
Limpopo,Magistrate Court,Morebeng,Yes,Yes,Yes,,29.93585,-23.49485
Limpopo,Magistrate Court,Nebo,Yes,Yes,Yes,,29.76015,-24.90708
Limpopo,Magistrate Court,Phalaborwa,Yes,Yes,Yes,,31.13567,-23.95197
Limpopo,Magistrate Court,Schoonoord,Yes,Yes,Yes,,30.01526,-24.75125
Mpumalanga,Branch Court,Boschfontein,No,No,Yes,,31.6118,-25.71414
Mpumalanga,Magistrate Court,Eerstehoek,Yes,Yes,Yes,Yes,30.78769,-26.06114
Mpumalanga,Magistrate Court,KwaMhlanga,Yes,Yes,Yes,,28.71456,-25.43336
Mpumalanga,Magistrate Court,Mbombela,Yes,Yes,Yes,,30.97802,-25.46947
Mpumalanga,Magistrate Court,Middelburg [MP],Yes,Yes,Yes,,29.45718,-25.76177
Mpumalanga,Branch Court,Secunda,No,Yes,Yes,,29.18619,-26.5046
Mpumalanga,Magistrate Court,Thulamahashe,Yes,Yes,Yes,Yes,31.20421,-24.7255
North West,Magistrate Court,Brits,Yes,Yes,Yes,Yes,27.77902,-25.63501
North West,Magistrate Court,Klerksdorp,Yes,Yes,Yes,Yes,26.66495,-26.86611
North West,Magistrate Court,Lichtenburg,Yes,Yes,Yes,,26.1506,-26.15958
North West,Magistrate Court,Mankwe,Yes,Yes,Yes,Yes,27.2379,-25.27177
North West,Magistrate Court,Mmabatho,Yes,Yes,Yes,Yes,25.608403,-25.837015
North West,Magistrate Court,Potchefstroom,Yes,Yes,Yes,Yes,27.213076,-25.646229
North West,Magistrate Court,Schweizer‐Reneke,Yes,Yes,Yes,,27.23732,-25.66563
North West,Magistrate Court,Taung,Yes,Yes,Yes,Yes,24.77929,-27.54393
North West,Magistrate Court,Temba,Yes,Yes,Yes,Yes,28.259469,-25.377309
Northern Cape,Magistrate Court,Barkly West,Yes,Yes,Yes,,24.52611,-28.53662
Northern Cape,Magistrate Court,Colesberg,Yes,Yes,Yes,,25.09577,-30.71992
Northern Cape,Magistrate Court,De Aar,Yes,Yes,Yes,,24.01046,-30.65054
Northern Cape,Branch Court,Galeshewe Community Court,No,Yes,Yes,,24.7234,-28.7155
Northern Cape,Detached Court,Kathu,Yes,Yes,Yes,,23.04522,-27.69962
Northern Cape,Magistrate Court,Kimberley,Yes,Yes,Yes,,24.76609,-28.73665
Northern Cape,Magistrate Court,Upington,Yes,Yes,Yes,,21.23732,-28.46085
Western Cape,Detached Court,Atlantis,Yes,Yes,Yes,,18.49383,-33.56632
Western Cape,Magistrate Court,Cape Town,Yes,Yes,Yes,,18.42324,-33.92683
Western Cape,Magistrate Court,Mitchells Plain,Yes,Yes,Yes,,18.52404,-34.0482
Western Cape,Magistrate Court,Paarl,Yes,Yes,Yes,,18.96939,-33.73793
Western Cape,Branch Court,Parow,No,No ,Yes,,18.59593,-33.90439
Western Cape,Branch Court,Thembalethu,No,Yes  ,Yes,,22.48521,-34.00322
Western Cape,Magistrate Court,Wynberg [WC],Yes,Yes,Yes,,18.46617,-34.00409
